"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5"
13800283,"agegp3",NA,NA,3,3,1
13800284,"agegp3",NA,NA,4,2,NA
13800285,"agegp2",NA,NA,NA,3,2
13800286,"agegp4",NA,NA,1,4,1
13800287,"agegp3",NA,1,2,2,2
13800288,"agegp2",NA,NA,1,2,2
13800289,"agegp5",NA,NA,NA,3,4
13800290,"agegp4",NA,NA,1,6,2
13800291,"agegp4",NA,NA,NA,3,NA
13800292,"agegp4",NA,NA,NA,5,NA
13800293,"agegp2",NA,1,NA,2,2
13800294,"agegp5",NA,1,1,2,6
13800295,"agegp2",NA,NA,1,4,2
13800296,"agegp5",NA,NA,NA,2,2
13800297,"agegp4",NA,NA,NA,4,2
13800298,"agegp2",NA,1,NA,8,4
13800299,"agegp5",NA,NA,NA,5,1
13800300,"agegp3",NA,NA,7,1,2
13800301,"agegp4",NA,2,NA,4,2
13800302,"agegp3",NA,NA,3,2,2
13800303,"agegp4",NA,NA,1,2,1
13800304,"agegp4",NA,NA,1,4,NA
13800305,"agegp2",NA,NA,2,3,2
13800306,"agegp3",NA,NA,1,2,NA
13800307,"agegp2",NA,NA,NA,2,1
13800308,"agegp3",NA,NA,4,3,NA
13800309,"agegp2",NA,NA,1,4,NA
13800310,"agegp5",NA,NA,1,2,1
13800311,"agegp2",NA,NA,NA,5,1
13800312,"agegp4",NA,1,2,1,4
13800313,"agegp5",NA,NA,NA,3,1
13800314,"agegp4",NA,NA,NA,7,NA
13800315,"agegp4",NA,NA,NA,5,1
13800316,"agegp2",NA,NA,2,5,NA
13800317,"agegp4",NA,1,NA,5,2
13800318,"agegp3",NA,NA,3,2,2
13800319,"agegp5",NA,NA,NA,4,2
13800320,"agegp5",NA,NA,1,4,NA
13800321,"agegp4",NA,NA,2,4,1
13800322,"agegp4",NA,NA,NA,6,NA
13800323,"agegp4",NA,NA,1,5,1
13800324,"agegp4",NA,NA,NA,7,1
13800325,"agegp4",NA,1,2,3,1
13800326,"agegp3",NA,NA,4,2,1
13800327,"agegp5",NA,NA,NA,8,NA
13800328,"agegp4",NA,NA,NA,4,3
13800329,"agegp4",NA,1,NA,4,NA
13800330,"agegp4",NA,NA,NA,5,1
13800331,"agegp3",NA,NA,1,3,1
