"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4","agegp5","agegp6"
2030,"agegp5",NA,3,1,NA,8,1
2031,"agegp6",NA,1,4,NA,2,1
2032,"agegp5",NA,NA,NA,2,3,NA
2033,"agegp5",NA,2,9,1,4,1
2034,"agegp6",NA,1,1,2,2,2
2035,"agegp5",NA,NA,NA,1,NA,1
2036,"agegp5",NA,NA,NA,NA,2,NA
2037,"agegp4",NA,NA,NA,2,2,NA
2038,"agegp5",NA,NA,NA,NA,1,NA
2039,"agegp4",NA,NA,NA,NA,3,1
2041,"agegp6",NA,NA,NA,NA,NA,1
2042,"agegp5",NA,NA,NA,NA,2,NA
2043,"agegp6",NA,NA,NA,NA,1,NA
2044,"agegp6",NA,NA,NA,NA,NA,2
2045,"agegp6",NA,NA,NA,NA,NA,1
2046,"agegp6",NA,NA,NA,NA,NA,2
2048,"agegp5",NA,1,1,NA,1,NA
2049,"agegp5",NA,NA,NA,NA,1,NA
2050,"agegp4",NA,NA,NA,1,NA,NA
2051,"agegp5",NA,NA,NA,NA,1,NA
2052,"agegp6",NA,NA,NA,NA,NA,1
2053,"agegp6",NA,NA,NA,NA,4,2
2054,"agegp6",NA,NA,NA,1,1,4
2056,"agegp5",NA,NA,NA,NA,3,6
2057,"agegp5",NA,NA,NA,NA,1,NA
2058,"agegp5",NA,3,NA,NA,1,1
2059,"agegp5",NA,2,1,NA,1,2
2060,"agegp5",NA,NA,NA,NA,7,2
2061,"agegp4",NA,NA,2,3,4,1
2062,"agegp4",NA,NA,NA,4,1,NA
2063,"agegp4",NA,NA,3,NA,1,NA
2064,"agegp5",NA,NA,NA,NA,NA,3
2066,"agegp6",NA,NA,NA,NA,1,NA
2067,"agegp5",NA,NA,2,NA,2,NA
2068,"agegp6",NA,NA,NA,NA,NA,1
2069,"agegp5",NA,NA,NA,NA,1,NA
2070,"agegp6",NA,1,3,NA,1,1
2071,"agegp5",NA,NA,3,NA,1,NA
2072,"agegp5",NA,1,1,NA,1,NA
2073,"agegp6",NA,NA,1,1,NA,5
2074,"agegp5",NA,1,1,NA,2,NA
2075,"agegp6",NA,NA,1,NA,2,2
2076,"agegp6",NA,1,1,NA,1,NA
2077,"agegp4",NA,NA,NA,NA,2,NA
2078,"agegp5",NA,NA,NA,NA,2,NA
2079,"agegp4",NA,NA,1,3,1,1
2080,"agegp5",NA,1,3,NA,NA,NA
2081,"agegp5",NA,1,NA,NA,1,NA
2082,"agegp5",NA,3,3,NA,1,1
2083,"agegp6",NA,NA,1,NA,NA,NA
2084,"agegp5",NA,NA,NA,2,NA,1
2085,"agegp6",NA,NA,4,NA,5,1
2086,"agegp4",NA,NA,NA,2,3,NA
2087,"agegp5",NA,NA,NA,NA,3,NA
2088,"agegp5",NA,1,1,NA,1,NA
2089,"agegp5",1,NA,1,NA,1,NA
2090,"agegp6",NA,NA,NA,NA,1,1
2091,"agegp6",NA,NA,NA,NA,NA,4
2092,"agegp5",NA,NA,NA,NA,1,NA
2093,"agegp6",NA,NA,2,1,3,2
2094,"agegp6",NA,NA,NA,NA,NA,3
2095,"agegp5",NA,NA,2,1,6,2
2096,"agegp5",NA,NA,1,NA,NA,NA
2097,"agegp5",NA,NA,NA,NA,4,2
2098,"agegp4",NA,NA,NA,2,3,4
2099,"agegp5",NA,NA,NA,NA,6,1
2100,"agegp5",NA,NA,2,NA,1,NA
2101,"agegp5",NA,1,1,NA,1,1
2102,"agegp5",NA,1,1,NA,1,NA
2103,"agegp5",NA,NA,NA,NA,1,NA
2104,"agegp6",NA,NA,NA,NA,NA,1
2105,"agegp6",NA,NA,NA,2,1,NA
2106,"agegp6",NA,NA,NA,NA,3,NA
2107,"agegp6",NA,1,1,NA,3,1
2108,"agegp5",NA,NA,NA,NA,3,2
2109,"agegp4",NA,NA,NA,1,NA,NA
2110,"agegp5",NA,NA,4,NA,2,NA
2111,"agegp5",NA,NA,NA,NA,1,1
2112,"agegp6",NA,NA,NA,NA,2,1
2113,"agegp4",NA,1,1,2,1,NA
2114,"agegp6",NA,NA,NA,NA,1,NA
2115,"agegp5",NA,1,1,NA,3,NA
2116,"agegp5",NA,1,2,NA,1,NA
2117,"agegp5",NA,1,1,NA,1,NA
2119,"agegp6",NA,NA,NA,NA,NA,7
2120,"agegp5",NA,1,3,NA,1,NA
2121,"agegp6",NA,NA,NA,NA,1,2
2122,"agegp5",NA,NA,1,1,1,NA
2123,"agegp5",NA,1,NA,NA,2,NA
2124,"agegp4",NA,NA,1,NA,1,NA
2125,"agegp6",NA,NA,NA,NA,1,NA
2126,"agegp5",NA,NA,4,NA,2,4
2127,"agegp6",NA,NA,1,NA,3,1
2128,"agegp5",NA,NA,3,NA,1,1
2129,"agegp6",NA,NA,NA,NA,NA,2
2130,"agegp4",NA,NA,1,1,2,1
2131,"agegp6",NA,NA,NA,NA,1,3
2132,"agegp5",NA,NA,2,NA,5,NA
2133,"agegp5",NA,1,1,NA,1,1
2134,"agegp6",NA,1,1,1,1,1
2135,"agegp6",NA,1,1,NA,2,1
2136,"agegp6",NA,NA,NA,NA,NA,1
2137,"agegp5",NA,NA,NA,NA,2,NA
2138,"agegp5",NA,NA,NA,1,3,NA
2139,"agegp5",NA,NA,NA,1,NA,NA
2140,"agegp5",NA,NA,NA,NA,1,NA
2141,"agegp5",NA,NA,1,2,5,3
2142,"agegp6",NA,NA,NA,NA,2,NA
2143,"agegp5",NA,NA,1,NA,2,6
2144,"agegp6",NA,NA,NA,3,2,1
2145,"agegp5",NA,NA,NA,1,3,1
2146,"agegp5",NA,NA,NA,1,1,2
2147,"agegp5",NA,5,NA,3,2,2
2148,"agegp6",NA,NA,NA,NA,1,2
2149,"agegp6",NA,NA,NA,NA,2,2
2151,"agegp6",NA,NA,3,NA,1,1
2152,"agegp5",NA,NA,1,2,4,NA
2153,"agegp6",NA,NA,NA,NA,NA,2
2154,"agegp5",NA,NA,3,NA,3,1
2155,"agegp5",NA,NA,3,1,5,NA
2156,"agegp5",NA,1,2,NA,9,2
2157,"agegp4",NA,NA,1,10,7,3
2158,"agegp6",NA,NA,NA,1,NA,2
2160,"agegp5",NA,NA,NA,NA,1,NA
2161,"agegp5",NA,NA,NA,1,1,5
2162,"agegp5",NA,NA,NA,NA,1,NA
2163,"agegp5",NA,NA,1,NA,1,2
2165,"agegp6",NA,NA,NA,NA,2,1
2166,"agegp5",NA,NA,1,NA,1,4
2167,"agegp5",NA,NA,NA,NA,3,NA
2168,"agegp5",NA,4,NA,NA,9,1
2169,"agegp5",NA,NA,1,NA,1,NA
2172,"agegp6",NA,1,NA,NA,2,3
2173,"agegp6",NA,NA,NA,NA,2,1
2174,"agegp6",NA,NA,NA,NA,4,3
2176,"agegp5",NA,NA,NA,NA,4,NA
2177,"agegp6",NA,NA,NA,NA,1,2
2178,"agegp5",NA,NA,NA,NA,4,1
2179,"agegp4",NA,NA,NA,2,2,1
2182,"agegp5",NA,NA,NA,2,3,8
2186,"agegp4",NA,NA,NA,NA,7,NA
2187,"agegp4",NA,NA,NA,NA,1,NA
2191,"agegp5",NA,NA,1,NA,1,NA
2192,"agegp6",NA,NA,NA,2,1,NA
2193,"agegp5",NA,NA,NA,NA,1,NA
2194,"agegp6",NA,NA,NA,NA,1,1
2195,"agegp5",NA,1,2,2,1,NA
2198,"agegp5",NA,NA,2,NA,1,NA
2199,"agegp6",NA,NA,NA,NA,1,NA
2200,"agegp5",NA,NA,NA,NA,11,NA
2201,"agegp6",NA,NA,NA,NA,NA,1
2202,"agegp5",NA,NA,NA,NA,1,2
2203,"agegp5",NA,NA,1,1,1,NA
2204,"agegp6",NA,NA,NA,1,NA,1
2205,"agegp5",NA,NA,NA,1,1,NA
2206,"agegp6",NA,NA,NA,NA,NA,1
2207,"agegp5",NA,1,2,1,1,NA
2208,"agegp6",NA,NA,NA,NA,1,NA
2211,"agegp5",NA,NA,NA,NA,7,NA
2212,"agegp5",NA,NA,1,NA,3,NA
2213,"agegp5",NA,NA,NA,NA,3,NA
2214,"agegp5",NA,1,1,NA,11,1
2215,"agegp6",NA,1,NA,NA,1,NA
2216,"agegp5",NA,NA,1,NA,1,NA
2217,"agegp5",NA,1,1,NA,16,2
2218,"agegp6",NA,NA,NA,NA,3,NA
2219,"agegp6",NA,NA,NA,NA,2,1
2220,"agegp5",NA,1,3,NA,2,4
2221,"agegp5",NA,1,1,1,4,1
2222,"agegp5",NA,NA,1,1,9,3
2223,"agegp5",1,NA,1,1,NA,NA
2224,"agegp6",NA,NA,NA,NA,NA,1
2226,"agegp6",NA,NA,1,NA,1,1
2227,"agegp5",NA,NA,1,1,2,NA
2228,"agegp5",1,NA,NA,NA,1,NA
2229,"agegp5",NA,NA,2,NA,6,2
2230,"agegp4",NA,NA,NA,6,2,1
2231,"agegp6",NA,NA,NA,NA,2,NA
2232,"agegp5",NA,NA,NA,NA,3,NA
2233,"agegp5",1,2,4,NA,NA,NA
2234,"agegp6",NA,NA,NA,NA,NA,1
2235,"agegp6",NA,NA,NA,1,4,4
2236,"agegp5",NA,1,NA,NA,2,NA
2237,"agegp5",NA,2,NA,NA,5,NA
2238,"agegp5",NA,NA,NA,NA,2,NA
2239,"agegp5",NA,NA,NA,6,4,NA
2240,"agegp5",NA,1,2,3,2,NA
2241,"agegp6",NA,1,NA,NA,2,NA
2242,"agegp6",NA,NA,NA,NA,NA,1
2243,"agegp6",NA,NA,NA,NA,NA,1
2244,"agegp5",NA,1,NA,NA,3,3
2245,"agegp5",NA,NA,3,1,4,4
2246,"agegp5",NA,3,3,NA,2,NA
2247,"agegp6",NA,NA,NA,NA,NA,1
2248,"agegp5",NA,NA,NA,2,NA,3
2249,"agegp6",NA,NA,NA,1,1,1
2250,"agegp6",NA,NA,1,3,NA,2
2251,"agegp4",NA,NA,NA,1,5,NA
2252,"agegp5",NA,2,NA,NA,3,1
2253,"agegp5",NA,NA,NA,2,1,2
2256,"agegp5",NA,NA,NA,2,4,2
2257,"agegp6",NA,NA,1,NA,2,NA
2258,"agegp6",NA,NA,NA,NA,2,2
2259,"agegp5",NA,2,NA,1,NA,2
2260,"agegp5",NA,NA,2,NA,1,NA
2261,"agegp6",NA,NA,NA,NA,2,NA
2262,"agegp5",NA,NA,NA,NA,3,NA
2263,"agegp5",1,1,2,NA,1,NA
2264,"agegp5",NA,NA,NA,NA,1,NA
2265,"agegp6",NA,2,3,NA,3,1
2266,"agegp5",NA,1,NA,NA,1,NA
2267,"agegp6",NA,2,7,4,5,2
2268,"agegp5",NA,1,NA,1,NA,NA
2269,"agegp6",NA,1,1,NA,5,2
2270,"agegp6",NA,NA,NA,NA,NA,1
2271,"agegp5",NA,NA,2,NA,1,NA
2272,"agegp5",NA,2,2,NA,3,1
2275,"agegp5",1,1,1,NA,1,NA
2278,"agegp6",NA,NA,NA,1,2,NA
2279,"agegp5",NA,NA,NA,1,3,2
2280,"agegp5",NA,NA,NA,1,9,1
2281,"agegp6",NA,NA,NA,NA,NA,3
2282,"agegp5",NA,1,1,NA,NA,NA
2283,"agegp6",NA,1,NA,NA,NA,1
2284,"agegp5",NA,2,NA,NA,3,1
2285,"agegp5",NA,2,1,NA,2,NA
2286,"agegp5",NA,NA,NA,NA,3,2
2287,"agegp4",NA,NA,NA,NA,NA,2
2288,"agegp5",NA,1,3,2,1,NA
2289,"agegp6",NA,NA,NA,NA,NA,2
2290,"agegp4",NA,NA,NA,NA,2,2
2291,"agegp5",NA,NA,1,1,1,2
2293,"agegp6",1,1,NA,NA,1,1
2294,"agegp6",NA,NA,NA,NA,NA,1
2295,"agegp4",NA,NA,NA,NA,1,2
2296,"agegp5",NA,1,NA,NA,2,NA
2297,"agegp5",NA,NA,3,NA,1,NA
2298,"agegp5",NA,2,NA,1,8,NA
2299,"agegp6",NA,NA,NA,1,NA,1
2300,"agegp6",NA,NA,NA,NA,NA,1
2301,"agegp5",NA,NA,NA,2,1,1
2302,"agegp6",NA,NA,NA,NA,NA,2
2303,"agegp5",NA,NA,1,NA,1,NA
2304,"agegp5",NA,NA,NA,NA,1,2
2306,"agegp5",NA,NA,NA,NA,1,NA
2307,"agegp5",NA,NA,NA,NA,2,1
2308,"agegp5",NA,NA,NA,1,NA,NA
2309,"agegp6",NA,1,NA,1,NA,NA
2310,"agegp6",NA,NA,NA,NA,1,NA
