"local_id","p_agegp","agegp1","agegp2","agegp3","agegp4"
772,"agegp4",NA,1,NA,7
773,"agegp4",NA,NA,2,3
777,"agegp4",NA,1,NA,NA
778,"agegp4",NA,NA,1,1
779,"agegp4",NA,NA,NA,1
780,"agegp4",NA,NA,NA,2
781,"agegp4",NA,NA,NA,2
783,"agegp4",NA,NA,NA,3
784,"agegp4",NA,NA,NA,2
785,"agegp4",NA,NA,NA,1
786,"agegp4",NA,1,NA,2
787,"agegp4",NA,NA,NA,1
788,"agegp4",NA,NA,1,1
789,"agegp4",NA,NA,NA,3
791,"agegp4",NA,NA,NA,1
793,"agegp4",NA,NA,NA,1
802,"agegp4",NA,NA,NA,1
805,"agegp4",NA,NA,1,1
806,"agegp4",NA,NA,NA,1
808,"agegp4",NA,NA,NA,4
811,"agegp4",NA,NA,2,2
814,"agegp4",NA,NA,NA,4
816,"agegp4",NA,NA,NA,4
817,"agegp4",NA,NA,NA,2
819,"agegp4",NA,NA,1,1
821,"agegp4",NA,NA,NA,1
822,"agegp4",NA,NA,NA,2
823,"agegp4",NA,3,NA,3
826,"agegp4",NA,NA,NA,1
828,"agegp4",NA,NA,1,1
831,"agegp4",NA,NA,NA,9
832,"agegp4",NA,1,1,2
833,"agegp4",NA,NA,NA,7
834,"agegp4",1,NA,NA,3
900,"agegp4",NA,NA,NA,5
901,"agegp4",NA,1,3,9
902,"agegp3",NA,NA,3,1
904,"agegp3",NA,NA,NA,1
905,"agegp4",NA,NA,NA,2
906,"agegp3",NA,NA,1,NA
907,"agegp3",NA,NA,2,4
908,"agegp3",NA,NA,2,NA
910,"agegp3",NA,1,NA,2
911,"agegp3",NA,NA,NA,1
914,"agegp3",NA,NA,1,1
918,"agegp3",NA,NA,NA,1
921,"agegp3",NA,1,4,NA
922,"agegp4",NA,NA,2,NA
924,"agegp3",NA,NA,3,4
926,"agegp3",NA,NA,5,1
929,"agegp3",NA,NA,NA,3
930,"agegp3",NA,NA,9,1
931,"agegp3",NA,NA,9,2
933,"agegp3",NA,NA,1,1
934,"agegp3",NA,NA,1,NA
935,"agegp3",NA,NA,2,2
936,"agegp3",NA,NA,NA,3
937,"agegp3",NA,NA,NA,1
940,"agegp3",NA,NA,NA,3
943,"agegp3",NA,NA,NA,2
945,"agegp3",NA,NA,4,NA
947,"agegp3",NA,1,15,4
948,"agegp3",NA,NA,4,3
952,"agegp3",NA,NA,NA,1
953,"agegp3",NA,NA,4,5
954,"agegp3",NA,NA,7,2
958,"agegp3",NA,1,9,3
960,"agegp3",NA,NA,1,1
961,"agegp3",NA,NA,15,1
962,"agegp3",NA,NA,1,2
964,"agegp4",NA,NA,3,NA
965,"agegp3",NA,NA,1,1
969,"agegp3",NA,NA,5,3
974,"agegp3",NA,NA,2,NA
976,"agegp3",NA,NA,8,1
977,"agegp3",NA,NA,3,3
979,"agegp3",NA,NA,11,10
981,"agegp3",NA,NA,6,NA
982,"agegp3",NA,NA,8,2
987,"agegp3",NA,NA,NA,1
989,"agegp3",NA,NA,1,1
990,"agegp3",NA,NA,1,4
991,"agegp3",NA,NA,2,3
992,"agegp3",NA,NA,2,1
993,"agegp3",1,NA,5,1
994,"agegp3",NA,NA,2,4
1052,"agegp3",NA,1,5,1
1053,"agegp3",NA,NA,2,2
1055,"agegp3",NA,NA,NA,2
1056,"agegp3",NA,NA,7,1
1057,"agegp3",NA,NA,1,NA
1100,"agegp3",NA,NA,1,5
1103,"agegp3",NA,NA,1,1
1104,"agegp3",NA,1,3,NA
1105,"agegp3",NA,NA,3,1
1106,"agegp3",NA,2,3,3
1108,"agegp3",NA,1,1,1
